40, 25
34,1252697179838, 36,9050179577373
21,1027396567937, 39,4848666482392
11,1329233762882, 30,7187573748241
12,0251517576972, 17,4731604846914
23,0805446555889, 10,1233171983533
35,639441878386, 14,4263404387863
39,8644922496223, 27,0116834146849
32,4462249214385, 38,0212800607063
19,1953491888977, 38,8313422689618
10,4912411758918, 28,8073504414305
13,151805805347, 15,8010710228967
25,0930297978072, 10,0002884875502
36,9613837942263, 15,9487405446965
39,4604173118776, 28,9870203368369
30,6326439665052, 38,9022775812668
17,3928354107536, 37,9279173462749
10,1116988780323, 26,8271534422745
14,4925294718442, 14,2951850506449
27,1038341055429, 10,148270065196
38,0672110154852, 17,634676091523
38,7950758915387, 30,8903209714486
28,7172940898945, 39,5320929204721
15,7277656006419, 36,7909146906998
10,001153939104, 24,8139439827775
16,0230989641321, 12,9827104639925
29,0766269697039, 10,5645882445327
38,9369437876216, 19,4536861015017
37,8804891778199, 32,6871970535473
26,7347812586686, 39,8993467636864
14,2302237404543, 35,4408773251737
10,1616036519055, 22,8040961275922
17,7158604117179, 11,8873606600951
30,9757645605587, 11,2417211135705
39,5548680397846, 21,3729052473836
36,7331816491341, 34,3451831650548
24,7209249200085, 39,9974036786281
12,9272669673334, 33,9021973198733
10,5901490591527, 20,833923204913
19,5402295085098, 11,0289260906596
32,7669338297622, 12,1674344387377
39,9098193019321, 23,3576576533097
35,373882513775, 35,8343233102207
22,7121108261844, 39,8244920023702
11,8424367134353, 32,2026750836091
11,2790473309694, 18,9390217081546
21,4632441008852, 10,4229166939996
34,4177724682189, 13,3250027093426
39,9953844211274, 25,3720834081365
33,8271511808, 37,1277121515684

0: 10,001153939104, 24,8139439827775
1: 10,1116988780323, 26,8271534422745
2: 10,4912411758918, 28,8073504414305
3: 11,1329233762882, 30,7187573748241
4: 11,8424367134353, 32,2026750836091
5: 12,9272669673334, 33,9021973198733
6: 14,2302237404543, 35,4408773251737
7: 15,7277656006419, 36,7909146906998
8: 17,3928354107536, 37,9279173462749
9: 19,1953491888977, 38,8313422689618
10: 21,1027396567937, 39,4848666482392
11: 22,7121108261844, 39,8244920023702
12: 24,7209249200085, 39,9974036786281
13: 26,7347812586686, 39,8993467636864
14: 28,7172940898945, 39,5320929204721
15: 30,6326439665052, 38,9022775812668
16: 32,4462249214385, 38,0212800607063
17: 33,8271511808, 37,1277121515684
18: 34,1252697179838, 36,9050179577373
19: 35,373882513775, 35,8343233102207
20: 36,7331816491341, 34,3451831650548
21: 37,8804891778199, 32,6871970535473
22: 38,7950758915387, 30,8903209714486
23: 39,4604173118776, 28,9870203368369
24: 39,8644922496223, 27,0116834146849
25: 39,9953844211274, 25,3720834081365
26: 40, 25
27: 39,9098193019321, 23,3576576533097
28: 39,5548680397846, 21,3729052473836
29: 38,9369437876216, 19,4536861015017
30: 38,0672110154852, 17,634676091523
31: 36,9613837942263, 15,9487405446965
32: 35,639441878386, 14,4263404387863
33: 34,4177724682189, 13,3250027093426
34: 32,7669338297622, 12,1674344387377
35: 30,9757645605587, 11,2417211135705
36: 29,0766269697039, 10,5645882445327
37: 27,1038341055429, 10,148270065196
38: 25,0930297978072, 10,0002884875502
39: 23,0805446555889, 10,1233171983533
40: 21,4632441008852, 10,4229166939996
41: 19,5402295085098, 11,0289260906596
42: 17,7158604117179, 11,8873606600951
43: 16,0230989641321, 12,9827104639925
44: 14,4925294718442, 14,2951850506449
45: 13,151805805347, 15,8010710228967
46: 12,0251517576972, 17,4731604846914
47: 11,2790473309694, 18,9390217081546
48: 10,5901490591527, 20,833923204913
49: 10,1616036519055, 22,8040961275922
